t,action,vx,vy,vz,x,y,z,collided
100.24,descend,0.0,0.0,1.0,113.9752197265625,2.026829719543457,-13.55960750579834,0
100.74,forward,3.0,0.0,0.0,114.4620361328125,2.0933916568756104,-13.553387641906738,0
101.25,descend,0.0,0.0,1.0,115.20123291015625,2.1253225803375244,-13.291276931762695,0
101.75,right,2.0,-1.5,0.0,115.78399658203125,2.006253957748413,-13.226033210754395,0
102.25,ascend,0.0,0.0,-1.0,116.3824691772461,1.6860383749008179,-13.69886302947998,0
102.76,forward,3.0,0.0,0.0,116.92140197753906,1.470772385597229,-13.953009605407715,0
103.26,forward,3.0,0.0,0.0,117.86510467529297,1.3570449352264404,-14.03312873840332,0
103.77,right,2.0,-1.5,0.0,119.01447296142578,1.1903516054153442,-14.062944412231445,0
104.27,right,2.0,-1.5,0.0,120.11329650878906,0.763245165348053,-14.090118408203125,0
104.78,left,2.0,1.5,0.0,121.1571273803711,0.40880241990089417,-14.238790512084961,0
105.28,forward,3.0,0.0,0.0,122.24313354492188,0.4272148907184601,-14.286479949951172,0
105.78,left,2.0,1.5,0.0,123.43929290771484,0.5852231383323669,-14.334373474121094,0
106.29,descend,0.0,0.0,1.0,124.44635009765625,0.8963863849639893,-14.087102890014648,0
106.79,forward,3.0,0.0,0.0,125.20037078857422,1.0730587244033813,-14.0586519241333,0
107.3,forward,3.0,0.0,0.0,126.25745391845703,1.1557749509811401,-14.121487617492676,0
107.8,hover,0.0,0.0,0.0,127.30162048339844,1.1955242156982422,-14.24739933013916,0
108.31,ascend,0.0,0.0,-1.0,127.8181381225586,1.2118935585021973,-14.776739120483398,0
108.81,forward,3.0,0.0,0.0,128.2615966796875,1.220122218132019,-15.03182315826416,0
109.31,descend,0.0,0.0,1.0,128.9470672607422,1.224960207939148,-14.724708557128906,0
109.82,left,2.0,1.5,0.0,129.507080078125,1.361679196357727,-14.621319770812988,0
110.32,left,2.0,1.5,0.0,130.24496459960938,1.7839518785476685,-14.660948753356934,0
110.83,hover,0.0,0.0,0.0,130.96432495117188,2.260305404663086,-14.734028816223145,0
111.33,ascend,0.0,0.0,-1.0,131.32064819335938,2.5037615299224854,-15.225954055786133,0
111.83,descend,0.0,0.0,1.0,131.51263427734375,2.6362345218658447,-15.194047927856445,0
112.34,left,2.0,1.5,0.0,131.79678344726562,2.843813896179199,-15.03311538696289,0
112.84,right,2.0,-1.5,0.0,132.41836547851562,3.0708818435668945,-15.13793659210205,0
113.35,descend,0.0,0.0,1.0,133.11940002441406,3.005835771560669,-14.82897663116455,0
113.85,descend,0.0,0.0,1.0,133.53298950195312,2.941157102584839,-14.300201416015625,0
114.36,ascend,0.0,0.0,-1.0,133.70541381835938,2.9121036529541016,-14.4789400100708,0
114.86,left,2.0,1.5,0.0,133.90452575683594,2.9919869899749756,-14.798503875732422,0
115.36,descend,0.0,0.0,1.0,134.3121337890625,3.2562172412872314,-14.525374412536621,0
115.87,hover,0.0,0.0,0.0,134.5462646484375,3.4125704765319824,-14.411041259765625,0
116.37,hover,0.0,0.0,0.0,134.65721130371094,3.4872851371765137,-14.404182434082031,0
116.88,left,2.0,1.5,0.0,134.86697387695312,3.641054391860962,-14.528546333312988,0
117.38,hover,0.0,0.0,0.0,135.28314208984375,3.950079917907715,-14.55562973022461,0
117.88,right,2.0,-1.5,0.0,135.685791015625,4.015300273895264,-14.702011108398438,0
118.39,ascend,0.0,0.0,-1.0,136.21255493164062,3.782905101776123,-15.176263809204102,0
118.89,hover,0.0,0.0,0.0,136.55477905273438,3.6078085899353027,-15.331100463867188,0
119.4,hover,0.0,0.0,0.0,136.73406982421875,3.5147578716278076,-15.318946838378906,0
119.9,right,2.0,-1.5,0.0,136.97535705566406,3.352532386779785,-15.423574447631836,0
120.41,ascend,0.0,0.0,-1.0,137.43026733398438,3.020888328552246,-15.88558292388916,0
